name,plddt_binder,iptm,ptm,pae_int,patch
P2_22_d1,71.2652,0.1,0.24,28.68544739884393,P2 (hydrophobic)
P2_22_d2,69.5904,0.1,0.24,28.718846628131022,P2 (hydrophobic)
P2_23_d1,41.794266666666665,0.08,0.17,29.47445780346821,P2 (hydrophobic)
P2_23_d2,38.2044,0.08,0.16,29.580690944123315,P2 (hydrophobic)
P2_24_d1,62.0164,0.1,0.23,28.55071637764933,P2 (hydrophobic)
P2_24_d2,71.52853333333333,0.1,0.24,28.601088824662813,P2 (hydrophobic)
P2_25_d1,54.62586666666666,0.09,0.21,28.926556840077076,P2 (hydrophobic)
P2_25_d2,40.45693333333334,0.08,0.15,29.84514315992293,P2 (hydrophobic)
P2_26_d1,74.25959999999999,0.09,0.23,29.328544123314064,P2 (hydrophobic)
P2_26_d2,68.3488,0.09,0.22,29.23555048169557,P2 (hydrophobic)
P2_27_d1,68.97026666666666,0.11,0.26,27.706150096339112,P2 (hydrophobic)
P2_27_d2,70.0856,0.1,0.24,28.64755202312138,P2 (hydrophobic)
P2_28_d1,58.80799999999998,0.09,0.22,28.940043930635838,P2 (hydrophobic)
P2_28_d2,48.750266666666676,0.08,0.16,29.474398265895953,P2 (hydrophobic)
P2_29_d1,63.91039999999998,0.09,0.23,28.6601225433526,P2 (hydrophobic)
P2_29_d2,73.85053333333333,0.1,0.25,28.393246435452788,P2 (hydrophobic)
P2_2_d1,73.86773333333333,0.09,0.24,28.868083236994224,P2 (hydrophobic)
P2_2_d2,74.93053333333333,0.09,0.23,29.322158574181117,P2 (hydrophobic)
P2_30_d1,70.12773333333334,0.09,0.23,29.06770443159923,P2 (hydrophobic)
P2_30_d2,74.28906666666666,0.1,0.25,28.421295761079,P2 (hydrophobic)
P2_31_d1,36.72626666666667,0.08,0.15,29.466233140655106,P2 (hydrophobic)
P2_31_d2,42.245866666666664,0.09,0.17,28.756126589595375,P2 (hydrophobic)
P2_32_d1,40.78680000000001,0.08,0.16,29.608620616570327,P2 (hydrophobic)
P2_32_d2,42.56493333333333,0.09,0.18,29.27392080924856,P2 (hydrophobic)
P2_33_d1,42.95666666666667,0.1,0.19,28.349034296724472,P2 (hydrophobic)
P2_33_d2,68.27746666666665,0.09,0.22,29.20416512524084,P2 (hydrophobic)
P2_34_d1,74.0344,0.1,0.25,28.13538342967245,P2 (hydrophobic)
P2_34_d2,73.94760000000001,0.1,0.24,28.42505838150289,P2 (hydrophobic)
P2_35_d1,77.3512,0.09,0.23,29.065329672447014,P2 (hydrophobic)
P2_35_d2,72.60933333333332,0.1,0.24,28.36532967244701,P2 (hydrophobic)
P2_36_d1,61.489466666666665,0.1,0.22,28.84140366088632,P2 (hydrophobic)
P2_36_d2,60.53893333333335,0.09,0.21,29.373876300578036,P2 (hydrophobic)
P2_37_d1,62.551066666666664,0.09,0.22,28.92699055876686,P2 (hydrophobic)
P2_37_d2,61.20280000000001,0.11,0.23,28.13241579961464,P2 (hydrophobic)
P2_38_d1,46.065866666666665,0.09,0.17,29.3166344894027,P2 (hydrophobic)
P2_38_d2,68.15386666666664,0.09,0.23,28.85238477842004,P2 (hydrophobic)
P2_39_d1,62.912933333333335,0.1,0.23,28.47309537572254,P2 (hydrophobic)
P2_39_d2,58.15946666666665,0.1,0.22,28.565004624277456,P2 (hydrophobic)
P2_3_d1,73.05133333333333,0.09,0.23,29.201383815028898,P2 (hydrophobic)
P2_3_d2,70.66613333333335,0.08,0.23,29.25328246628131,P2 (hydrophobic)
P2_40_d1,77.49426666666666,0.08,0.23,29.573193448940273,P2 (hydrophobic)
P2_40_d2,72.86359999999999,0.08,0.23,29.373057225433524,P2 (hydrophobic)
P2_41_d1,43.66,0.09,0.17,29.113688824662816,P2 (hydrophobic)
P2_41_d2,40.532,0.08,0.15,29.569703275529868,P2 (hydrophobic)
P2_42_d1,67.5016,0.1,0.24,28.43671175337187,P2 (hydrophobic)
P2_42_d2,47.46746666666667,0.09,0.19,28.64650481695568,P2 (hydrophobic)
P2_43_d1,73.68746666666668,0.09,0.24,29.033447784200384,P2 (hydrophobic)
P2_43_d2,38.27386666666666,0.08,0.15,29.627706358381502,P2 (hydrophobic)
P2_44_d1,60.07133333333333,0.09,0.23,29.003931791907515,P2 (hydrophobic)
P2_44_d2,68.10746666666667,0.1,0.24,28.633818304431596,P2 (hydrophobic)
P2_45_d1,49.64026666666667,0.08,0.16,29.769874181117533,P2 (hydrophobic)
P2_45_d2,66.34653333333334,0.08,0.22,29.61971984585742,P2 (hydrophobic)
P2_46_d1,66.78813333333333,0.1,0.23,28.83022177263969,P2 (hydrophobic)
P2_46_d2,63.81413333333334,0.1,0.24,28.236469749518307,P2 (hydrophobic)
P2_47_d1,58.663599999999995,0.09,0.22,28.81725086705202,P2 (hydrophobic)
P2_47_d2,64.42520000000002,0.09,0.22,28.86178766859345,P2 (hydrophobic)
P2_48_d1,76.84159999999999,0.1,0.24,28.722944508670516,P2 (hydrophobic)
P2_48_d2,71.37386666666667,0.1,0.23,28.724243352601157,P2 (hydrophobic)
P2_49_d1,47.748533333333334,0.09,0.2,28.998046628131018,P2 (hydrophobic)
P2_49_d2,37.36653333333334,0.08,0.15,30.052577071290944,P2 (hydrophobic)
P2_4_d1,35.333466666666666,0.09,0.15,29.22033044315992,P2 (hydrophobic)
P2_4_d2,60.11466666666667,0.08,0.21,29.306279768786126,P2 (hydrophobic)
P2_50_d1,64.00293333333333,0.11,0.25,27.901870134874756,P2 (hydrophobic)
P2_50_d2,66.4016,0.1,0.24,28.504550867052025,P2 (hydrophobic)
P2_51_d1,43.233333333333334,0.08,0.15,29.347947784200386,P2 (hydrophobic)
P2_51_d2,61.67946666666667,0.09,0.21,29.123637572254335,P2 (hydrophobic)
P2_52_d1,49.199866666666665,0.09,0.18,29.011171868978803,P2 (hydrophobic)
P2_52_d2,70.89973333333334,0.1,0.24,28.352590366088634,P2 (hydrophobic)
P2_53_d1,51.745866666666664,0.08,0.19,29.628813294797688,P2 (hydrophobic)
P2_53_d2,63.86426666666665,0.1,0.24,28.21133487475915,P2 (hydrophobic)
P2_54_d1,68.01333333333332,0.1,0.24,28.4405901734104,P2 (hydrophobic)
P2_54_d2,57.89466666666666,0.1,0.21,28.738711368015412,P2 (hydrophobic)
P2_55_d1,73.53746666666666,0.1,0.25,28.18222793834297,P2 (hydrophobic)
P2_55_d2,71.80093333333335,0.1,0.25,28.19033718689788,P2 (hydrophobic)
P2_56_d1,58.493866666666676,0.09,0.22,28.791269556840078,P2 (hydrophobic)
P2_56_d2,71.17519999999998,0.1,0.25,28.046389980732176,P2 (hydrophobic)
P2_57_d1,60.25706666666667,0.09,0.2,29.221962427745662,P2 (hydrophobic)
P2_57_d2,53.29986666666667,0.09,0.19,29.16957244701349,P2 (hydrophobic)
P2_58_d1,66.5636,0.1,0.23,28.790350867052023,P2 (hydrophobic)
P2_58_d2,61.19480000000001,0.09,0.22,28.785511175337184,P2 (hydrophobic)
P2_59_d1,64.0252,0.09,0.23,28.804365895953758,P2 (hydrophobic)
P2_59_d2,69.48053333333333,0.11,0.24,28.121221579961464,P2 (hydrophobic)
P2_5_d1,70.78693333333332,0.1,0.24,28.245442967244696,P2 (hydrophobic)
P2_5_d2,71.99866666666667,0.1,0.24,28.83535125240848,P2 (hydrophobic)
P2_60_d1,44.67773333333333,0.09,0.15,29.92509402697495,P2 (hydrophobic)
P2_60_d2,68.6008,0.1,0.25,28.198434104046243,P2 (hydrophobic)
P2_61_d1,75.86626666666666,0.09,0.23,29.152252023121385,P2 (hydrophobic)
P2_61_d2,74.08893333333333,0.09,0.23,29.2762204238921,P2 (hydrophobic)
P2_62_d1,62.258533333333325,0.1,0.24,28.386388053949908,P2 (hydrophobic)
P2_62_d2,61.80559999999999,0.09,0.23,28.861450674373796,P2 (hydrophobic)
P2_63_d1,67.92386666666667,0.1,0.24,28.462593834296722,P2 (hydrophobic)
P2_63_d2,70.2572,0.1,0.24,28.40594065510597,P2 (hydrophobic)
P2_64_d1,76.18280000000001,0.1,0.25,28.27940404624277,P2 (hydrophobic)
P2_64_d2,74.3249333333333,0.1,0.25,28.140526396917146,P2 (hydrophobic)
P2_65_d1,79.578,0.1,0.25,28.667004046242774,P2 (hydrophobic)
P2_65_d2,58.9492,0.09,0.21,28.979211175337188,P2 (hydrophobic)
P2_66_d1,53.18053333333333,0.09,0.2,29.019310404624278,P2 (hydrophobic)
P2_66_d2,67.1012,0.09,0.23,28.673683236994215,P2 (hydrophobic)
P2_67_d1,73.62013333333334,0.1,0.25,28.373452793834296,P2 (hydrophobic)
P2_67_d2,77.53186666666667,0.1,0.25,28.189351059730246,P2 (hydrophobic)
P2_68_d1,64.08626666666667,0.1,0.23,28.54162774566474,P2 (hydrophobic)
P2_68_d2,45.14373333333333,0.08,0.14,30.032235645472056,P2 (hydrophobic)
P2_69_d1,71.6284,0.1,0.24,28.61165684007707,P2 (hydrophobic)
P2_69_d2,72.26719999999999,0.1,0.24,28.578906358381502,P2 (hydrophobic)
P2_6_d1,55.2552,0.09,0.21,28.879546242774566,P2 (hydrophobic)
P2_6_d2,52.89266666666666,0.09,0.22,28.72580578034682,P2 (hydrophobic)
P2_70_d1,70.96613333333333,0.1,0.25,28.41303583815029,P2 (hydrophobic)
P2_70_d2,73.13053333333332,0.1,0.25,28.191154527938345,P2 (hydrophobic)
P2_71_d1,63.86746666666669,0.1,0.22,28.745525240847783,P2 (hydrophobic)
P2_71_d2,60.846,0.1,0.23,28.51193545279384,P2 (hydrophobic)
P2_72_d1,76.23293333333332,0.09,0.24,29.083394026974954,P2 (hydrophobic)
P2_72_d2,77.7084,0.08,0.23,29.38967398843931,P2 (hydrophobic)
P2_73_d1,50.0116,0.1,0.21,28.52676531791908,P2 (hydrophobic)
P2_73_d2,41.3568,0.09,0.17,28.85880443159923,P2 (hydrophobic)
P2_74_d1,77.07053333333333,0.1,0.23,29.095860500963393,P2 (hydrophobic)
P2_74_d2,79.51599999999999,0.1,0.24,28.534338535645468,P2 (hydrophobic)
P2_75_d1,65.55040000000001,0.1,0.24,28.68421078998074,P2 (hydrophobic)
P2_75_d2,66.11093333333334,0.09,0.24,29.07754739884393,P2 (hydrophobic)
P2_76_d1,75.56106666666668,0.1,0.24,28.71728285163777,P2 (hydrophobic)
P2_76_d2,77.6136,0.09,0.24,28.89908940269749,P2 (hydrophobic)
P2_77_d1,69.78773333333335,0.09,0.23,29.02694739884393,P2 (hydrophobic)
P2_77_d2,75.58653333333335,0.09,0.23,29.317776300578036,P2 (hydrophobic)
P2_78_d1,71.76546666666667,0.1,0.24,28.692231021194605,P2 (hydrophobic)
P2_78_d2,68.25146666666666,0.1,0.24,28.39584277456648,P2 (hydrophobic)
P2_79_d1,72.18933333333334,0.1,0.25,28.30915568400771,P2 (hydrophobic)
P2_79_d2,68.80373333333333,0.1,0.24,28.679100385356453,P2 (hydrophobic)
P2_7_d1,64.08853333333333,0.1,0.23,28.54582119460501,P2 (hydrophobic)
P2_7_d2,52.75426666666667,0.08,0.19,29.523701734104048,P2 (hydrophobic)
P2_80_d1,67.83493333333334,0.1,0.24,28.45181714836223,P2 (hydrophobic)
P2_80_d2,69.3352,0.1,0.24,28.45775973025048,P2 (hydrophobic)
P2_81_d1,52.16039999999999,0.08,0.19,29.26151117533719,P2 (hydrophobic)
P2_81_d2,55.068799999999996,0.09,0.2,29.07540828516378,P2 (hydrophobic)
P2_82_d1,58.97346666666668,0.08,0.16,29.64731965317919,P2 (hydrophobic)
P2_82_d2,73.75533333333334,0.09,0.24,29.00711946050096,P2 (hydrophobic)
P2_83_d1,75.7916,0.1,0.24,28.509763969171484,P2 (hydrophobic)
P2_83_d2,76.45053333333333,0.1,0.24,28.825867244701346,P2 (hydrophobic)
P2_84_d1,52.00853333333333,0.08,0.18,29.56629171483623,P2 (hydrophobic)
P2_84_d2,50.35573333333334,0.09,0.17,29.50513545279383,P2 (hydrophobic)
P2_85_d1,34.41173333333333,0.09,0.14,29.29910192678227,P2 (hydrophobic)
P2_85_d2,32.86213333333333,0.08,0.15,29.148363969171484,P2 (hydrophobic)
P2_86_d1,62.4672,0.09,0.22,28.985909633911366,P2 (hydrophobic)
P2_86_d2,69.83,0.11,0.25,28.138923121387286,P2 (hydrophobic)
P2_87_d1,68.97493333333333,0.09,0.23,29.199012331406557,P2 (hydrophobic)
P2_87_d2,34.86573333333334,0.09,0.14,29.260029672447015,P2 (hydrophobic)
P2_88_d1,53.304,0.07,0.18,30.234212909441233,P2 (hydrophobic)
P2_88_d2,54.37466666666666,0.08,0.18,29.931130443159926,P2 (hydrophobic)
P2_89_d1,70.60106666666668,0.09,0.24,28.940455491329477,P2 (hydrophobic)
P2_89_d2,73.06200000000001,0.09,0.23,29.052308477842004,P2 (hydrophobic)
P2_8_d1,52.72613333333333,0.09,0.2,28.93618882466281,P2 (hydrophobic)
P2_8_d2,50.11306666666667,0.09,0.19,28.719266473988437,P2 (hydrophobic)
P2_90_d1,61.60226666666666,0.09,0.23,28.810362235067437,P2 (hydrophobic)
P2_90_d2,68.12493333333333,0.09,0.23,29.2518795761079,P2 (hydrophobic)
P2_91_d1,60.60373333333333,0.09,0.22,28.734739113680153,P2 (hydrophobic)
P2_91_d2,60.721599999999995,0.1,0.22,28.693694797687865,P2 (hydrophobic)
P2_92_d1,46.391200000000005,0.09,0.19,29.086904816955688,P2 (hydrophobic)
P2_92_d2,48.239200000000004,0.1,0.19,28.76636936416185,P2 (hydrophobic)
P2_93_d1,53.4808,0.09,0.19,29.473313487475913,P2 (hydrophobic)
P2_93_d2,57.12933333333334,0.09,0.21,28.841895568400773,P2 (hydrophobic)
P2_94_d1,58.76253333333333,0.09,0.22,28.900885549132948,P2 (hydrophobic)
P2_94_d2,72.00240000000001,0.1,0.24,28.66851965317919,P2 (hydrophobic)
P2_95_d1,61.988133333333344,0.09,0.21,28.820585741811172,P2 (hydrophobic)
P2_95_d2,69.79253333333331,0.1,0.24,28.47310289017341,P2 (hydrophobic)
P2_96_d1,72.35466666666667,0.1,0.25,28.17516473988439,P2 (hydrophobic)
P2_96_d2,51.1844,0.1,0.2,28.576788439306355,P2 (hydrophobic)
P2_97_d1,67.7304,0.1,0.23,28.633539499036612,P2 (hydrophobic)
P2_97_d2,71.34026666666665,0.09,0.23,29.096541233140655,P2 (hydrophobic)
P2_98_d1,39.22253333333333,0.08,0.14,29.616032562620425,P2 (hydrophobic)
P2_98_d2,44.854,0.09,0.15,29.063489980732175,P2 (hydrophobic)
P2_99_d1,74.6632,0.1,0.24,28.641905394990367,P2 (hydrophobic)
P2_99_d2,71.80760000000001,0.1,0.25,28.225170327552984,P2 (hydrophobic)
P2_9_d1,35.66133333333333,0.08,0.14,29.2603225433526,P2 (hydrophobic)
P2_9_d2,72.37013333333334,0.1,0.24,28.61537379576108,P2 (hydrophobic)
