binder_aligned_rmsd,pae_binder,pae_interaction,pae_target,plddt_binder,plddt_target,plddt_total,target_aligned_rmsd,time,description,design,patch,pass_pae5,pass_pae10,pass_plddt80,pass_strict
0.362,2.528,28.251,4.355,91.512,95.711,94.963,52.041,33.692,P2_34_d1_af2pred,P2_34_d1,P2,False,False,True,False
0.97,2.868,28.265,4.399,90.011,95.644,94.64,37.175,33.372,P2_87_d1_af2pred,P2_87_d1,P2,False,False,True,False
1.944,6.064,28.269,4.334,72.36,95.62,91.476,73.502,33.564,P2_73_d2_af2pred,P2_73_d2,P2,False,False,False,False
2.219,3.919,28.275,4.348,81.831,95.656,93.193,51.616,34.305,P2_47_d1_af2pred,P2_47_d1,P2,False,False,True,False
0.731,4.046,28.296,4.468,82.151,95.526,93.143,25.719,127.638,P1_57_d1_af2pred,P1_57_d1,P1,False,False,True,False
0.773,3.452,28.296,4.272,87.674,95.925,94.455,49.67,34.173,P2_42_d1_af2pred,P2_42_d1,P2,False,False,True,False
0.505,3.006,28.305,4.327,92.389,95.718,95.125,50.781,33.324,P2_89_d1_af2pred,P2_89_d1,P2,False,False,True,False
2.756,6.973,28.318,4.394,74.387,95.584,91.808,31.787,34.289,P1_11_d1_af2pred,P1_11_d1,P1,False,False,False,False
0.595,2.984,28.322,4.368,87.061,95.655,94.124,53.097,33.49,P2_6_d2_af2pred,P2_6_d2,P2,False,False,True,False
2.821,3.349,28.323,4.344,88.885,95.645,94.44,53.273,34.995,P2_73_d1_af2pred,P2_73_d1,P2,False,False,True,False
0.763,3.253,28.325,4.291,86.41,95.835,94.156,48.66,33.626,P2_47_d2_af2pred,P2_47_d2,P2,False,False,True,False
5.124,6.013,28.368,4.436,67.734,95.55,90.594,56.941,34.131,P2_0_d1_af2pred,P2_0_d1,P2,False,False,False,False
2.005,2.909,28.414,4.357,88.66,95.689,94.436,53.778,33.885,P2_34_d2_af2pred,P2_34_d2,P2,False,False,True,False
0.618,3.762,28.423,4.273,86.776,95.868,94.248,44.83,33.824,P2_2_d2_af2pred,P2_2_d2,P2,False,False,True,False
0.76,3.072,28.492,4.388,92.086,95.589,94.965,53.017,34.46,P2_89_d2_af2pred,P2_89_d2,P2,False,False,True,False
