rank,design,patch,iface_score,hot_heavy,heavy5,binder_iface_res,ns1_iface_res,mind,mpnn_score,seq_recovery
153,P1_36_d2,P1,0.18968310931063337,78,18,8,5,4.05,1.0817,0.0
154,P1_7_d2,P1,0.18105634135337567,83,31,8,6,3.77,1.2363,0.04
155,P2_81_d2,P2,0.17030355098251848,192,12,4,5,3.82,1.0295,0.0267
156,P2_24_d2,P2,0.16314863373363447,256,10,4,5,4.23,1.1559,0.0267
157,P2_14_d1,P2,0.16304354584394004,176,14,4,3,4.15,1.0191,0.0267
158,P2_53_d2,P2,0.14956950270723252,172,16,3,4,3.55,0.9754,0.0267
159,P1_23_d1,P1,0.13815466748351485,95,31,6,5,3.66,1.1604,0.04
160,P2_90_d1,P2,0.13347955462841085,208,4,3,4,4.52,0.9377,0.04
161,P2_39_d1,P2,0.13033885631205497,201,12,5,3,3.78,1.1366,0.0667
162,P2_90_d2,P2,0.12794415101899456,208,4,3,4,4.52,0.9409,0.0267
163,P2_85_d2,P2,0.11413251620813755,155,17,3,4,3.74,0.9684,0.0533
164,P1_36_d1,P1,0.11184149605321633,78,18,8,5,4.05,1.1267,0.0133
165,P2_24_d1,P2,0.10174024994167191,256,10,4,5,4.23,1.1914,0.0267
166,P1_3_d2,P1,0.10150049353954277,144,14,4,2,3.83,0.9829,0.0133
167,P2_62_d1,P2,0.09372034071353347,253,14,5,4,4.11,1.2957,0.04
168,P1_8_d2,P1,0.08631785423401621,80,26,7,5,3.19,1.1673,0.04
169,P2_7_d2,P2,0.08261043030997643,190,12,3,4,4.09,1.0119,0.0533
170,P2_61_d1,P2,0.0749367598183244,185,7,4,3,4.61,1.0157,0.08
171,P2_71_d1,P2,0.06678855919577786,131,18,5,4,2.71,1.0802,0.04
172,P1_20_d2,P1,0.06518178903517236,83,21,5,5,3.91,1.0054,0.0
173,P1_77_d1,P1,0.05922837102967739,89,21,5,3,3.78,1.0223,0.0
174,P1_20_d1,P1,0.05601377680707678,83,21,5,5,3.91,1.0107,0.0
175,P2_14_d2,P2,0.041610629162369205,176,14,4,3,4.15,1.0893,0.0267
176,P1_8_d1,P1,0.04151568127030272,80,26,7,5,3.19,1.1932,0.0267
177,P1_14_d2,P1,0.04003644887950472,82,34,6,6,3.64,1.2199,0.0133
178,P2_71_d2,P2,0.03513296980442825,131,18,5,4,2.71,1.0985,0.04
179,P2_41_d1,P2,0.03402401932618716,149,22,5,5,3.0,1.1821,0.0933
180,P1_3_d1,P1,0.03299987387301573,144,14,4,2,3.83,1.0225,0.0267
181,P1_77_d2,P1,0.030859427531418723,89,21,5,3,3.78,1.0387,0.0
182,P1_21_d2,P1,0.029547971410983552,67,18,8,5,4.07,1.1496,0.04
183,P1_97_d2,P1,0.029416640370807698,122,20,4,3,3.82,1.0391,0.0267
184,P1_97_d1,P1,0.026129994477716703,122,20,4,3,3.82,1.041,0.0267
185,P1_12_d2,P1,0.023717043969556928,50,13,7,4,4.14,0.9978,0.0133
186,P2_15_d1,P2,0.019479146834509825,221,5,2,2,4.44,0.9796,0.04
187,P2_43_d1,P2,0.01851416519497477,208,9,4,4,4.55,1.1212,0.0267
188,P2_59_d1,P2,0.015387736552908114,151,12,5,3,3.43,1.0909,0.0
189,P1_78_d2,P1,0.011719034004505052,90,23,5,6,4.26,1.0733,0.0133
190,P1_52_d1,P1,0.010194439435161268,95,12,6,3,4.47,1.0321,0.04
191,P2_88_d1,P2,0.009546721019000809,190,9,3,4,3.59,1.0222,0.0133
192,P1_18_d2,P1,0.004330135231257443,96,18,5,4,3.69,1.0378,0.0
193,P1_14_d1,P1,0.0007696795252077338,82,34,6,6,3.64,1.2426,0.0133
194,P2_86_d1,P2,0.0002318290699691028,76,20,5,3,3.74,1.0166,0.0133
195,P1_81_d1,P1,-0.0010302930819520578,66,22,6,4,3.01,1.08,0.0
196,P1_52_d2,P1,-0.003644069588379567,95,12,6,3,4.47,1.0401,0.04
197,P1_12_d1,P1,-0.008630470872969642,50,13,7,4,4.14,1.0165,0.0133
198,P2_4_d2,P2,-0.016453815111194647,143,13,4,4,3.44,1.0382,0.08
199,P2_54_d1,P2,-0.02648179806537913,129,24,4,3,3.34,1.1297,0.0267
200,P2_4_d1,P2,-0.029254435957970032,143,13,4,4,3.44,1.0456,0.0933
201,P2_78_d1,P2,-0.035653782964916614,135,12,3,4,4.05,0.9569,0.04
202,P2_1_d2,P2,-0.04672546843490753,210,7,3,3,4.06,1.0783,0.0533
203,P2_77_d1,P2,-0.04821112196105752,130,15,5,5,3.23,1.1125,0.04
204,P2_77_d2,P2,-0.04994093558899993,130,15,5,5,3.23,1.1135,0.0267
205,P2_33_d2,P2,-0.05625268511406473,150,13,3,3,4.1,1.0131,0.0667
206,P1_21_d1,P1,-0.058845504976883733,67,18,8,5,4.07,1.2007,0.0533
207,P1_15_d2,P1,-0.05915106756438282,58,21,5,4,4.07,1.0212,0.04
208,P2_78_d2,P2,-0.06575254009111808,135,12,3,4,4.05,0.9743,0.04
209,P1_89_d2,P1,-0.07288457386351165,71,23,6,4,3.94,1.1434,0.0533
210,P2_33_d1,P2,-0.0732048586679023,150,13,3,3,4.1,1.0229,0.0667
211,P1_89_d1,P1,-0.07634420111939685,71,23,6,4,3.94,1.1454,0.0533
212,P2_54_d2,P2,-0.07716533736409759,129,24,4,3,3.34,1.159,0.0267
213,P1_16_d2,P1,-0.08372676392257526,92,24,4,5,4.15,1.0798,0.0
214,P2_1_d1,P2,-0.09170062276141527,210,7,3,3,4.06,1.1043,0.04
215,P2_15_d2,P2,-0.09278575761896507,221,5,2,2,4.44,1.0445,0.04
216,P1_50_d1,P1,-0.09412983856395901,109,23,4,3,3.69,1.1133,0.0267
217,P2_30_d1,P2,-0.09928156883768756,150,9,4,2,4.07,1.0592,0.04
218,P1_50_d2,P1,-0.10277890670367222,109,23,4,3,3.69,1.1183,0.0267
219,P1_65_d2,P1,-0.1139680829989469,112,10,4,3,4.33,0.9931,0.0133
220,P2_30_d2,P2,-0.11519585421475968,150,9,4,2,4.07,1.0684,0.0267
221,P1_78_d1,P1,-0.11940083899354445,90,23,5,6,4.26,1.1491,0.0133
222,P1_67_d1,P1,-0.12080915177417562,69,22,9,7,3.98,1.3474,0.0133
223,P1_95_d1,P1,-0.12484230214466056,93,19,6,9,3.75,1.1802,0.0
224,P2_59_d2,P2,-0.14306319176663457,151,12,5,3,3.43,1.1825,0.0
225,P1_95_d2,P1,-0.15597894744762744,93,19,6,9,3.75,1.1982,0.0
226,P1_18_d1,P1,-0.1563695508046104,96,18,5,4,3.69,1.1307,0.0
227,P1_1_d1,P1,-0.16489270861208183,92,17,4,4,4.02,1.0522,0.0133
228,P1_35_d2,P1,-0.17041869258833567,102,21,3,2,4.26,1.0566,0.0267
229,P2_88_d2,P2,-0.19249551072469528,190,9,3,4,3.59,1.139,0.0133
230,P2_86_d2,P2,-0.2038861790272583,76,20,5,3,3.74,1.1346,0.0133
231,P2_69_d1,P2,-0.2097060754748132,198,3,1,1,4.67,0.9754,0.0533
232,P1_59_d2,P1,-0.2124939329494327,107,16,2,3,3.57,0.9751,0.0267
233,P2_74_d2,P2,-0.21410066728174723,174,7,2,2,3.49,1.0305,0.0267
234,P2_20_d1,P2,-0.21874471645453705,179,7,2,2,4.36,1.0444,0.0267
235,P1_64_d1,P1,-0.22799938081282559,62,19,6,4,4.39,1.1703,0.0667
236,P2_85_d1,P2,-0.22906250757567503,155,17,3,4,3.74,1.1668,0.0533
237,P1_55_d2,P1,-0.23578278032493205,49,12,4,3,4.33,0.9435,0.0533
238,P1_34_d2,P1,-0.23969270900969253,98,17,4,4,3.68,1.1089,0.0133
239,P1_67_d2,P1,-0.24362591935810074,69,22,9,7,3.98,1.4184,0.0133
240,P1_22_d2,P1,-0.2500956080008448,100,17,4,2,3.91,1.1194,0.0267
241,P2_65_d1,P2,-0.2501779341712377,103,9,3,3,3.85,0.9772,0.08
242,P1_35_d1,P1,-0.2565634112598774,102,21,3,2,4.26,1.1064,0.0133
243,P1_92_d2,P1,-0.2588582847793491,104,14,4,3,3.88,1.1015,0.0267
244,P2_65_d2,P2,-0.258999983673745,103,9,3,3,3.85,0.9823,0.0667
245,P1_27_d2,P1,-0.2622867640691102,84,9,5,4,4.29,1.0692,0.04
246,P2_20_d2,P2,-0.263892852143839,179,7,2,2,4.36,1.0705,0.0133
247,P1_98_d1,P1,-0.2699867135395348,99,14,2,2,3.89,0.9691,0.0133
248,P1_81_d2,P1,-0.27745451082718,66,22,6,4,3.01,1.2398,0.0133
249,P2_11_d1,P2,-0.28102175217653347,210,6,3,3,4.14,1.2031,0.0133
250,P1_65_d1,P1,-0.2862575203420302,112,10,4,3,4.33,1.0927,0.0133
251,P1_73_d2,P1,-0.2879575669398108,123,24,4,2,3.94,1.2674,0.0267
252,P1_32_d1,P1,-0.2904093490599902,114,19,4,4,4.15,1.1954,0.0133
253,P1_76_d1,P1,-0.29238617445924636,96,11,4,2,4.14,1.071,0.04
254,P1_34_d1,P1,-0.2926250060247361,98,17,4,4,3.68,1.1395,0.04
255,P1_22_d1,P1,-0.2952437436901468,100,17,4,2,3.91,1.1455,0.0267
256,P2_69_d2,P2,-0.30432688092327354,198,3,1,1,4.67,1.0301,0.0267
257,P1_32_d2,P1,-0.30666959716265085,114,19,4,4,4.15,1.2048,0.0
258,P1_98_d2,P1,-0.3090805015310377,99,14,2,2,3.89,0.9917,0.0133
259,P2_44_d1,P2,-0.31987764863456913,148,2,2,2,4.62,0.9801,0.0267
260,P1_73_d1,P1,-0.3216889326846913,123,24,4,2,3.94,1.2869,0.0133
261,P2_12_d1,P2,-0.3219029601419483,151,2,2,2,4.58,0.988,0.0933
262,P1_92_d1,P1,-0.33254834532970395,104,14,4,3,3.88,1.1441,0.0133
263,P2_12_d2,P2,-0.33435761826313504,151,2,2,2,4.58,0.9952,0.0933
264,P1_43_d1,P1,-0.3346539137844979,52,21,4,4,3.26,1.1032,0.08
265,P2_16_d1,P2,-0.3363076339820828,182,5,2,3,4.63,1.0978,0.08
266,P1_55_d1,P1,-0.3366309148339859,49,12,4,3,4.33,1.0018,0.0533
267,P1_76_d2,P1,-0.3368423846973714,96,11,4,2,4.14,1.0967,0.04
268,P2_11_d2,P2,-0.3407003223405532,210,6,3,3,4.14,1.2376,0.04
269,P1_16_d1,P1,-0.34510160310470267,92,24,4,5,4.15,1.2309,0.0
270,P1_4_d1,P1,-0.34754395039633623,39,19,4,3,4.16,1.0602,0.04
271,P2_44_d2,P2,-0.35066833121194757,148,2,2,2,4.62,0.9979,0.0267
272,P1_53_d1,P1,-0.36027223280453313,105,19,4,5,3.58,1.2156,0.0267
273,P1_53_d2,P1,-0.36182906506968127,105,19,4,5,3.58,1.2165,0.0267
274,P1_1_d2,P1,-0.36693494035577795,92,17,4,4,4.02,1.169,0.0133
275,P1_56_d2,P1,-0.3783723337080964,93,16,3,2,4.23,1.1034,0.0667
276,P1_64_d2,P1,-0.3795310546205979,62,19,6,4,4.39,1.2579,0.0667
277,P1_59_d1,P1,-0.38461038892972177,107,16,2,3,3.57,1.0746,0.0133
278,P1_27_d1,P1,-0.39254173025318856,84,9,5,4,4.29,1.1445,0.04
279,P1_94_d2,P1,-0.4014550882120319,93,19,5,7,3.82,1.2763,0.04
280,P1_88_d2,P1,-0.406938325129638,143,10,4,3,4.12,1.232,0.0
281,P2_25_d1,P2,-0.41045056343090136,117,6,1,1,3.84,0.9417,0.04
282,P1_72_d1,P1,-0.4105405242114108,68,13,5,4,3.71,1.1616,0.0533
283,P1_15_d1,P1,-0.41151410357629115,58,21,5,4,4.07,1.2249,0.04
284,P1_9_d1,P1,-0.41411869531249673,65,25,6,6,3.85,1.3485,0.0133
285,P1_72_d2,P1,-0.41486505828126724,68,13,5,4,3.71,1.1641,0.0533
286,P1_56_d1,P1,-0.416601214885628,93,16,3,2,4.23,1.1255,0.0667
287,P1_91_d2,P1,-0.42135935031091243,99,16,2,4,3.63,1.0779,0.0533
288,P2_57_d1,P2,-0.42258112985077,142,10,4,4,3.81,1.2388,0.04
289,P1_37_d2,P1,-0.43082927079660605,94,25,5,5,3.51,1.3594,0.0267
290,P2_49_d1,P2,-0.4314859831373733,142,5,2,3,4.25,1.0631,0.0267
291,P2_48_d1,P2,-0.4355450775642366,184,4,1,2,3.92,1.0852,0.04
292,P2_28_d2,P2,-0.43731480552753105,182,3,2,2,4.69,1.1349,0.0133
293,P1_43_d2,P1,-0.4403455264517908,52,21,4,4,3.26,1.1643,0.0667
294,P1_9_d2,P1,-0.4454283219782579,65,25,6,6,3.85,1.3666,0.0133
295,P2_49_d2,P2,-0.4501679703191537,142,5,2,3,4.25,1.0739,0.0533
296,P2_74_d1,P2,-0.45748544473327163,174,7,2,2,3.49,1.1712,0.04
297,P2_25_d2,P2,-0.46788037587859577,117,6,1,1,3.84,0.9749,0.0533
298,P1_24_d2,P1,-0.47302640036298466,70,13,4,4,3.18,1.1384,0.0267
299,P1_29_d2,P1,-0.4798374339849757,97,13,4,3,4.18,1.2029,0.0
300,P1_37_d1,P1,-0.4830696423604727,94,25,5,5,3.51,1.3896,0.0267
301,P2_92_d1,P2,-0.4928398550036498,132,2,2,1,4.67,1.0442,0.0533
302,P1_5_d1,P1,-0.49564074272522013,81,10,3,4,3.99,1.0804,0.04
303,P1_91_d1,P1,-0.4976441313031813,99,16,2,4,3.63,1.122,0.04
304,P1_84_d2,P1,-0.5005425630904906,55,18,5,4,3.47,1.2377,0.0133
305,P2_48_d2,P2,-0.5007590513376728,184,4,1,2,3.92,1.1229,0.0533
306,P2_16_d2,P2,-0.5158622885625248,182,5,2,3,4.63,1.2016,0.0667
307,P1_94_d1,P1,-0.516487694470215,93,19,5,7,3.82,1.3428,0.04
308,P2_13_d2,P2,-0.5258637494859617,166,1,1,1,4.74,1.0651,0.0267
309,P1_51_d1,P1,-0.5263757635530495,122,16,2,2,3.67,1.1902,0.04
310,P2_40_d2,P2,-0.5314086990417806,123,2,1,1,4.72,0.9825,0.04
311,P1_4_d2,P1,-0.5383423935584055,39,19,4,3,4.16,1.1705,0.04
312,P1_24_d1,P1,-0.5505220508948132,70,13,4,4,3.18,1.1832,0.0267
313,P2_40_d1,P2,-0.5523394439398861,123,2,1,1,4.72,0.9946,0.04
314,P2_18_d1,P2,-0.5524347250676639,138,0,0,0,5.02,0.9432,0.0533
315,P1_88_d1,P1,-0.5553563344071135,143,10,4,3,4.12,1.3178,0.0
316,P2_57_d2,P2,-0.5568146673791162,142,10,4,4,3.81,1.3164,0.0267
